Year,Date,HomeTeam,AwayTeam,HomeTeamCity,AwayTeamCity,HomeTeamOffense,HomeTeamDefense,AwayTeamOffense,AwayTeamDefense,HomeScore,AwayScore,HomeWin,HomeWinProbability,FieldGoalPercentage_Home,FieldGoalPercentage_Away,Attendance
2020,2020-07-03,Team C,Team E,Toronto,Phoenix,94,83,75,80,86,82,1,0.9,0.5057288007862983,0.4427815855181997,9862
2021,2021-03-18,Team C,Team B,Philadelphia,Toronto,89,83,85,81,83,83,0,0.8,0.4796916272290495,0.4958461228062732,9170
2020,2020-08-11,Team J,Team F,Miami,New York,79,85,76,72,65,60,1,0.75,0.48949673288215023,0.4818569639939718,12162
2020,2020-10-07,Team C,Team E,Los Angeles,Toronto,85,71,94,75,96,104,0,0.14999999999999997,0.468055154470436,0.5217434063752565,11575
2022,2022-01-11,Team D,Team F,Phoenix,Philadelphia,84,84,87,82,75,83,0,0.44999999999999996,0.4684447897745484,0.512168221528023,10643
2021,2021-06-09,Team B,Team A,Toronto,Houston,90,84,78,75,95,60,1,0.9,0.5035544191647835,0.4839777987029635,10389
2022,2022-01-16,Team E,Team B,Chicago,Houston,79,87,83,74,73,67,1,0.39999999999999997,0.4490805484164889,0.5194073670469899,11762
2020,2020-02-23,Team C,Team A,Dallas,Los Angeles,94,70,90,77,87,118,0,0.8,0.4933049532606738,0.484102533075567,10844
2022,2022-06-29,Team F,Team G,New York,Phoenix,84,82,78,73,97,90,1,0.9,0.5182366038357342,0.4582183043095298,11552
2020,2020-06-02,Team F,Team J,Los Angeles,Houston,76,79,78,76,81,62,1,0.5,0.4505209824420751,0.5028124191302235,9911
2022,2022-04-23,Team G,Team I,Phoenix,Los Angeles,87,70,84,72,113,93,1,0.75,0.44741731698158327,0.47946761622792977,12178
2021,2021-08-27,Team I,Team E,Philadelphia,Miami,89,83,92,85,78,97,0,0.44999999999999996,0.5085411098622794,0.5451410751141559,10802
2022,2022-03-21,Team J,Team C,Toronto,Toronto,76,79,94,74,84,103,0,0.1,0.4683230294284115,0.4991886560781468,8965
2023,2023-10-26,Team J,Team E,Philadelphia,New York,75,71,92,77,63,118,0,0.1,0.4636683143945789,0.4793587214494318,10499
2020,2020-10-05,Team C,Team H,Chicago,Miami,92,73,84,85,94,92,1,0.9,0.48869821157035515,0.4914298299401105,9566
2023,2023-12-29,Team H,Team G,Chicago,Dallas,77,88,85,81,71,76,0,0.19999999999999996,0.47625294165143783,0.4917734728307985,11393
2022,2022-10-20,Team D,Team C,Chicago,Miami,84,76,79,82,78,69,1,0.85,0.4936142315402658,0.4595978972006379,14317
